model,developer,release_date,parameters,parameter_source,training_flop,confidence,confidence_explanation,estimation_method,alternative_methods,threshold_classification,reasoning,sources,verified,last_updated,notes,blacklist_status
gpt_oss_20b,OpenAI,,20000000000.0,extracted_from_name,3.60e+22,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 4.48e+25 (Low),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 20,000,000,000 params × 300,000,000,000 tokens = 3.60e+22 FLOP (Generic estimate: 20B params * 15 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.078844,,allowed
internlm2.5_20b,InternLM,,20000000000.0,extracted_from_name,3.6e+22,low,Extracted parameters with uncertain training tokens,scaling_laws,Benchmark Based: 2.84e+25 (Medium),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 20,000,000,000 params × 300,000,000,000 tokens = 3.60e+22 FLOP (Generic estimate: 20B params * 15 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-01T21:13:48.822379,,
internlm2_5_20b,InternLM,,20000000000.0,extracted_from_name,3.60e+22,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 2.76e+25 (Low),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 20,000,000,000 params × 300,000,000,000 tokens = 3.60e+22 FLOP (Generic estimate: 20B params * 15 tokens/param)",CSV file with manually collected leaderboard data (LMArena Manual Data Collection),,2025-08-15T20:32:45.069278,,allowed
llama_4_maverick_17b_128e,Meta,,17000000000.0,extracted_from_name,3.47e+22,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 4.18e+25 (Low),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 17,000,000,000 params × 340,000,000,000 tokens = 3.47e+22 FLOP (Modern model: 17B params * 20 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.054757,,allowed
llama_4_scout_17b_16e,Meta,,17000000000.0,extracted_from_name,3.47e+22,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 3.51e+25 (Low),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 17,000,000,000 params × 340,000,000,000 tokens = 3.47e+22 FLOP (Modern model: 17B params * 20 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.056173,,allowed
qwen1.5_14b,Alibaba,,14000000000.0,extracted_from_name,1.88e+22,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 2.60e+25 (Low),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 14,000,000,000 params × 224,000,000,000 tokens = 1.88e+22 FLOP (Chinese model: 14B params * 16 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.069379,,allowed
qwen_14b,Alibaba,,14000000000.0,extracted_from_name,1.88e+22,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 2.37e+25 (Low),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 14,000,000,000 params × 224,000,000,000 tokens = 1.88e+22 FLOP (Chinese model: 14B params * 16 tokens/param)",CSV file with manually collected leaderboard data (LMArena Manual Data Collection),,2025-08-15T20:32:45.073666,,allowed
rwkv_4_raven_14b,RWKV,,14000000000.0,extracted_from_name,1.76e+22,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 1.82e+25 (Low),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 14,000,000,000 params × 210,000,000,000 tokens = 1.76e+22 FLOP (Generic estimate: 14B params * 15 tokens/param)",CSV file with manually collected leaderboard data (LMArena Manual Data Collection),,2025-08-15T20:32:45.075563,,allowed
gemma_3_12b,Google,,12000000000.0,extracted_from_name,1.73e+22,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 4.07e+25 (Medium),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 12,000,000,000 params × 240,000,000,000 tokens = 1.73e+22 FLOP (Modern model: 12B params * 20 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-01T21:13:48.794507,,
baichuan2_13b,Unknown,,13000000000.0,extracted_from_name,1.62e+22,medium,Known parameters with estimated training tokens,scaling_laws,,high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 13,000,000,000 params × 208,000,000,000 tokens = 1.62e+22 FLOP (Chinese model: 13B params * 16 tokens/param)",https://llmbench.github.io/ChineseSimpleQA/ (ChineseSimpleQA - Question answering benchmark for Chinese LLMs),,2025-08-04T16:03:15.478266,,allowed
alpaca_13b,Stanford,,13000000000.0,extracted_from_name,1.52e+22,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 1.93e+25 (Low),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 13,000,000,000 params × 195,000,000,000 tokens = 1.52e+22 FLOP (Generic estimate: 13B params * 15 tokens/param)",CSV file with manually collected leaderboard data (LMArena Manual Data Collection),,2025-08-15T20:32:45.075239,,allowed
gpt4all_13b_snoozy,Nomic AI,,13000000000.0,extracted_from_name,1.52e+22,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 1.95e+25 (Low),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 13,000,000,000 params × 195,000,000,000 tokens = 1.52e+22 FLOP (Generic estimate: 13B params * 15 tokens/param)",CSV file with manually collected leaderboard data (LMArena Manual Data Collection),,2025-08-15T20:32:45.075179,,allowed
koala_13b,UC Berkeley,,13000000000.0,extracted_from_name,1.52e+22,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 1.97e+25 (Low),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 13,000,000,000 params × 195,000,000,000 tokens = 1.52e+22 FLOP (Generic estimate: 13B params * 15 tokens/param)",CSV file with manually collected leaderboard data (LMArena Manual Data Collection),,2025-08-15T20:32:45.075119,,allowed
vicuna_13b,LMSYS,,13000000000.0,extracted_from_name,1.52e+22,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 2.40e+25 (Low),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 13,000,000,000 params × 195,000,000,000 tokens = 1.52e+22 FLOP (Generic estimate: 13B params * 15 tokens/param)",CSV file with manually collected leaderboard data (LMArena Manual Data Collection),,2025-08-15T20:32:45.073328,,allowed
wizardlm_13b,Microsoft,,13000000000.0,extracted_from_name,1.52e+22,low,Extracted parameters with uncertain training tokens,scaling_laws,Benchmark Based: 2.14e+25 (Medium),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 13,000,000,000 params × 195,000,000,000 tokens = 1.52e+22 FLOP (Generic estimate: 13B params * 15 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-01T21:13:48.815515,,
llama_3.2_11b_vision,Meta,,11000000000.0,extracted_from_name,1.45e+22,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 8.04e+24 (Low),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 11,000,000,000 params × 220,000,000,000 tokens = 1.45e+22 FLOP (Modern model: 11B params * 20 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.089977,,allowed
dolly_v2_12b,Databricks,,12000000000.0,extracted_from_name,1.30e+22,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 1.48e+25 (Low),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 12,000,000,000 params × 180,000,000,000 tokens = 1.30e+22 FLOP (Generic estimate: 12B params * 15 tokens/param)",CSV file with manually collected leaderboard data (LMArena Manual Data Collection),,2025-08-15T20:32:45.075869,,allowed
oasst_pythia_12b,OpenAssistant,,12000000000.0,extracted_from_name,1.30e+22,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 1.70e+25 (Low),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 12,000,000,000 params × 180,000,000,000 tokens = 1.30e+22 FLOP (Generic estimate: 12B params * 15 tokens/param)",CSV file with manually collected leaderboard data (LMArena Manual Data Collection),,2025-08-15T20:32:45.075659,,allowed
pixtral_12b,Mistral,,12000000000.0,extracted_from_name,1.30e+22,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 7.78e+24 (Low),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 12,000,000,000 params × 180,000,000,000 tokens = 1.30e+22 FLOP (Generic estimate: 12B params * 15 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.089659,,allowed
solar_10.7b_instruct,Upstage AI,,10700000000.0,extracted_from_name,1.24e+22,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 2.23e+25 (Medium),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 10,700,000,000 params × 192,600,000,000 tokens = 1.24e+22 FLOP (Specialized model: 11B params * 18 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-01T21:13:48.814630,,
llama_2_13b,Meta,,13000000000.0,extracted_from_name,1.22e+22,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 1.38e+25 (Low),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 13,000,000,000 params × 156,000,000,000 tokens = 1.22e+22 FLOP (Mid-era model: 13B params * 12 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.073159,,allowed
yi_coder_9b,01 AI,,9000000000.0,extracted_from_name,8.75e+21,medium,Known parameters with estimated training tokens,scaling_laws,,high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 9,000,000,000 params × 162,000,000,000 tokens = 8.75e+21 FLOP (Specialized model: 9B params * 18 tokens/param)",https://github.com/openai/open-agent-leaderboard (Open Agent Leaderboard - Multi-task agent performance evaluation),,2025-08-04T16:03:15.513596,,allowed
llama_13b,Meta,,13000000000.0,extracted_from_name,8.11e+21,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 1.49e+25 (Low),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 13,000,000,000 params × 104,000,000,000 tokens = 8.11e+21 FLOP (Early era model: 13B params * 8 tokens/param)",CSV file with manually collected leaderboard data (LMArena Manual Data Collection),,2025-08-15T20:32:45.075815,,allowed
llama_3.1_tulu_3_8b,Ai2,,8000000000.0,extracted_from_name,7.68e+21,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 3.04e+25 (Medium),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 8,000,000,000 params × 160,000,000,000 tokens = 7.68e+21 FLOP (Modern model: 8B params * 20 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-01T21:13:48.808948,,
gemma_2_9b,Google,,9000000000.0,extracted_from_name,5.83e+21,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 3.09e+25 (Medium),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 9,000,000,000 params × 108,000,000,000 tokens = 5.83e+21 FLOP (Mid-era model: 9B params * 12 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-01T21:13:48.807089,,
gemma_2_9b_it_simpo,Princeton,,9000000000.0,extracted_from_name,5.83e+21,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 3.21e+25 (Medium),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 9,000,000,000 params × 108,000,000,000 tokens = 5.83e+21 FLOP (Mid-era model: 9B params * 12 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-01T21:13:48.802981,,
aya_expanse_8b,Cohere,,8000000000.0,extracted_from_name,5.76e+21,low,Extracted parameters with uncertain training tokens,scaling_laws,Benchmark Based: 2.97e+25 (Medium),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 8,000,000,000 params × 120,000,000,000 tokens = 5.76e+21 FLOP (Generic estimate: 8B params * 15 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-01T21:13:48.822242,,
c4ai_aya_expanse_8b,Cohere,,8000000000.0,extracted_from_name,5.76e+21,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 2.93e+25 (Low),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 8,000,000,000 params × 120,000,000,000 tokens = 5.76e+21 FLOP (Generic estimate: 8B params * 15 tokens/param)",CSV file with manually collected leaderboard data (LMArena Manual Data Collection),,2025-08-15T20:32:45.063908,,allowed
gemini_1.5_flash_8b_001,Google,,8000000000.0,extracted_from_name,5.76e+21,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 2.35e+25 (Low),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 8,000,000,000 params × 120,000,000,000 tokens = 5.76e+21 FLOP (Generic estimate: 8B params * 15 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.061838,,allowed
granite_3.0_8b,IBM,,8000000000.0,extracted_from_name,5.76e+21,low,Extracted parameters with uncertain training tokens,scaling_laws,Benchmark Based: 2.42e+25 (Medium),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 8,000,000,000 params × 120,000,000,000 tokens = 5.76e+21 FLOP (Generic estimate: 8B params * 15 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-01T21:13:48.810609,,
granite_3.1_8b,IBM,,8000000000.0,extracted_from_name,5.76e+21,low,Extracted parameters with uncertain training tokens,scaling_laws,Benchmark Based: 2.85e+25 (Medium),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 8,000,000,000 params × 120,000,000,000 tokens = 5.76e+21 FLOP (Generic estimate: 8B params * 15 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-01T21:13:48.809599,,
ministral_8b,Mistral,,8000000000.0,extracted_from_name,5.76e+21,low,Extracted parameters with uncertain training tokens,scaling_laws,Benchmark Based: 3.11e+25 (Medium),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 8,000,000,000 params × 120,000,000,000 tokens = 5.76e+21 FLOP (Generic estimate: 8B params * 15 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-01T21:13:48.808263,,
mixtral_8x7b_instruct,Mistral,,7000000000.0,extracted_from_name,5.29e+21,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 1.50e+25 (Low),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 7,000,000,000 params × 126,000,000,000 tokens = 5.29e+21 FLOP (Specialized model: 7B params * 18 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.069036,,allowed
qwen1.5_7b,Alibaba,,7000000000.0,extracted_from_name,4.70e+21,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 2.34e+25 (Low),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 7,000,000,000 params × 112,000,000,000 tokens = 4.70e+21 FLOP (Chinese model: 7B params * 16 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.073254,,allowed
gemma_1.1_7b,Google,,7000000000.0,extracted_from_name,4.41e+21,low,Extracted parameters with uncertain training tokens,scaling_laws,Benchmark Based: 2.37e+25 (Medium),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 7,000,000,000 params × 105,000,000,000 tokens = 4.41e+21 FLOP (Generic estimate: 7B params * 15 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-01T21:13:48.813290,,
gemma_7b,Google,,7000000000.0,extracted_from_name,4.41e+21,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 2.36e+25 (Low),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 7,000,000,000 params × 105,000,000,000 tokens = 4.41e+21 FLOP (Generic estimate: 7B params * 15 tokens/param)",CSV file with manually collected leaderboard data (LMArena Manual Data Collection),,2025-08-15T20:32:45.073736,,allowed
molmo_7b_d,Ai2,,7000000000.0,extracted_from_name,4.41e+21,low,Extracted parameters with uncertain training tokens,scaling_laws,,high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 7,000,000,000 params × 105,000,000,000 tokens = 4.41e+21 FLOP (Generic estimate: 7B params * 15 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-01T21:13:48.823516,,
mpt_7b,MosaicML,,7000000000.0,extracted_from_name,4.41e+21,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 1.92e+25 (Low),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 7,000,000,000 params × 105,000,000,000 tokens = 4.41e+21 FLOP (Generic estimate: 7B params * 15 tokens/param)",CSV file with manually collected leaderboard data (LMArena Manual Data Collection),,2025-08-15T20:32:45.075299,,allowed
nous_hermes_2_mixtral_8x7b_dpo,NousResearch,,7000000000.0,extracted_from_name,4.41e+21,low,Extracted parameters with uncertain training tokens,scaling_laws,Benchmark Based: 2.41e+25 (Medium),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 7,000,000,000 params × 105,000,000,000 tokens = 4.41e+21 FLOP (Generic estimate: 7B params * 15 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-01T21:13:48.814107,,
olmo_7b,Allen AI,,7000000000.0,extracted_from_name,4.41e+21,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 2.02e+25 (Low),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 7,000,000,000 params × 105,000,000,000 tokens = 4.41e+21 FLOP (Generic estimate: 7B params * 15 tokens/param)",CSV file with manually collected leaderboard data (LMArena Manual Data Collection),,2025-08-15T20:32:45.075058,,allowed
stablelm_tuned_alpha_7b,Stability AI,,7000000000.0,extracted_from_name,4.41e+21,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 1.40e+25 (Low),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 7,000,000,000 params × 105,000,000,000 tokens = 4.41e+21 FLOP (Generic estimate: 7B params * 15 tokens/param)",CSV file with manually collected leaderboard data (LMArena Manual Data Collection),,2025-08-15T20:32:45.075944,,allowed
starling_lm_7b,Nexusflow,,7000000000.0,extracted_from_name,4.41e+21,low,Extracted parameters with uncertain training tokens,scaling_laws,Benchmark Based: 2.64e+25 (Medium),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 7,000,000,000 params × 105,000,000,000 tokens = 4.41e+21 FLOP (Generic estimate: 7B params * 15 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-01T21:13:48.813886,,
starling_lm_7b_alpha,UC Berkeley,,7000000000.0,extracted_from_name,4.41e+21,low,Extracted parameters with uncertain training tokens,scaling_laws,Benchmark Based: 2.40e+25 (Medium),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 7,000,000,000 params × 105,000,000,000 tokens = 4.41e+21 FLOP (Generic estimate: 7B params * 15 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-01T21:13:48.814465,,
stripedhyena_nous_7b,Together AI,,7000000000.0,extracted_from_name,4.41e+21,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 2.27e+25 (Low),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 7,000,000,000 params × 105,000,000,000 tokens = 4.41e+21 FLOP (Generic estimate: 7B params * 15 tokens/param)",CSV file with manually collected leaderboard data (LMArena Manual Data Collection),,2025-08-15T20:32:45.074473,,allowed
vicuna_7b,LMSYS,,7000000000.0,extracted_from_name,4.41e+21,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 2.24e+25 (Low),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 7,000,000,000 params × 105,000,000,000 tokens = 4.41e+21 FLOP (Generic estimate: 7B params * 15 tokens/param)",CSV file with manually collected leaderboard data (LMArena Manual Data Collection),,2025-08-15T20:32:45.074544,,allowed
zephyr_7b,HuggingFace,,7000000000.0,extracted_from_name,4.41e+21,low,Extracted parameters with uncertain training tokens,scaling_laws,Benchmark Based: 2.13e+25 (Medium),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 7,000,000,000 params × 105,000,000,000 tokens = 4.41e+21 FLOP (Generic estimate: 7B params * 15 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-01T21:13:48.817921,,
zephyr_7b_alpha,HuggingFace,,7000000000.0,extracted_from_name,4.41e+21,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 2.32e+25 (Low),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 7,000,000,000 params × 105,000,000,000 tokens = 4.41e+21 FLOP (Generic estimate: 7B params * 15 tokens/param)",CSV file with manually collected leaderboard data (LMArena Manual Data Collection),,2025-08-15T20:32:45.073924,,allowed
chatglm2_6b,Tsinghua,,6000000000.0,extracted_from_name,3.89e+21,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 1.76e+25 (Low),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 6,000,000,000 params × 108,000,000,000 tokens = 3.89e+21 FLOP (Specialized model: 6B params * 18 tokens/param)",CSV file with manually collected leaderboard data (LMArena Manual Data Collection),,2025-08-15T20:32:45.075612,,allowed
chatglm3_6b,Tsinghua,,6000000000.0,extracted_from_name,3.89e+21,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 1.88e+25 (Low),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 6,000,000,000 params × 108,000,000,000 tokens = 3.89e+21 FLOP (Specialized model: 6B params * 18 tokens/param)",CSV file with manually collected leaderboard data (LMArena Manual Data Collection),,2025-08-15T20:32:45.075471,,allowed
chatglm_6b,Tsinghua,,6000000000.0,extracted_from_name,3.89e+21,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 1.62e+25 (Low),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 6,000,000,000 params × 108,000,000,000 tokens = 3.89e+21 FLOP (Specialized model: 6B params * 18 tokens/param)",CSV file with manually collected leaderboard data (LMArena Manual Data Collection),,2025-08-15T20:32:45.075700,,allowed
dolphin_2.2.1_mistral_7b,Cognitive,,7000000000.0,extracted_from_name,3.53e+21,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 2.15e+25 (Medium),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 7,000,000,000 params × 84,000,000,000 tokens = 3.53e+21 FLOP (Mid-era model: 7B params * 12 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-01T21:13:48.814908,,
mistral_7b,Mistral,,7000000000.0,extracted_from_name,3.53e+21,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 2.21e+25 (Low),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 7,000,000,000 params × 84,000,000,000 tokens = 3.53e+21 FLOP (Mid-era model: 7B params * 12 tokens/param)",CSV file with manually collected leaderboard data (LMArena Manual Data Collection),,2025-08-15T20:32:45.074754,,allowed
mistral_7b_instruct,Mistral,,7000000000.0,extracted_from_name,3.53e+21,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 1.22e+25 (Low),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 7,000,000,000 params × 84,000,000,000 tokens = 3.53e+21 FLOP (Mid-era model: 7B params * 12 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.072559,,allowed
openhermes_2.5_mistral_7b,NousResearch,,7000000000.0,extracted_from_name,3.53e+21,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 2.29e+25 (Medium),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 7,000,000,000 params × 84,000,000,000 tokens = 3.53e+21 FLOP (Mid-era model: 7B params * 12 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-01T21:13:48.812692,,
qwen2_vl_7b,Alibaba,,7000000000.0,extracted_from_name,3.53e+21,medium,Known parameters with estimated training tokens,scaling_laws,,high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 7,000,000,000 params × 84,000,000,000 tokens = 3.53e+21 FLOP (Mid-era model: 7B params * 12 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.089904,,allowed
gemma_3_4b,Google,,4000000000.0,extracted_from_name,1.92e+21,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 3.69e+25 (Medium),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 4,000,000,000 params × 80,000,000,000 tokens = 1.92e+21 FLOP (Modern model: 4B params * 20 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-01T21:13:48.801257,,
gemma_3n_e4b,Google,,4000000000.0,extracted_from_name,1.92e+21,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 3.87e+25 (Medium),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 4,000,000,000 params × 80,000,000,000 tokens = 1.92e+21 FLOP (Modern model: 4B params * 20 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-01T21:13:48.799367,,
